Pool.ID,long,lat
B3-91,667448.1011,4245717.145
B3-92,667416.8151,4245673.803
C2-10,666559.0434,4245640.778
C2-11,666604.0747,4245624.519
C2-14,666573.1298,4245562.919
C2-15,666590.6677,4245536.797
C2-18,666627.6019,4245522.732
C2-19,666668.7225,4245539.625
C3-12,667087.3195,4245351.079
C3-13,667108.6694,4245374.296
C3-17,667180.7167,4245377.301
C3-19,667187.5362,4245322.821
D5-13,666966.7273,4245016.56
D5-28,666969.8583,4245165.907
D5-29,666988.1212,4245142.083
D5-30,666981.2908,4245130.267
D5-35,667047.6899,4245142.237
D5-39,667067.4735,4245104.782
D6-37,667060.0215,4245026.395
D6-40,667222.5417,4244994.025
D6-58,667141.718,4244978.543
D6-59,667118.5611,4244981.875
D6-60,667100.4686,4245006.126
D6-61,667116.9685,4244866.392
D6-63,667140.1393,4244840.263
E5-03,667008.791,4244674.371
E5-27,667043.4924,4244617.515
E5-30,666982.8317,4244564.292
E5-38,667103.9037,4244557.951
F5-10,666971.2895,4244364.392